date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,precipitation,wind_speed,humidity
2020-01-01,AUS,Austin (Bergstrom),55.4,48.8,52.5,0.004,10.1,55
2020-01-02,AUS,Austin (Bergstrom),60.7,52.3,55.7,0.071,9.3,88
2020-01-03,AUS,Austin (Bergstrom),65.0,46.6,54.9,0.0,17.2,60
2020-01-04,AUS,Austin (Bergstrom),69.3,42.3,54.7,0.0,10.5,46
2020-01-05,AUS,Austin (Bergstrom),71.9,48.1,59.0,0.0,14.5,43
2020-01-06,AUS,Austin (Bergstrom),72.0,47.3,59.4,0.0,16.1,64
2020-01-07,AUS,Austin (Bergstrom),65.2,43.1,54.5,0.0,14.2,32
2020-01-08,AUS,Austin (Bergstrom),67.6,34.8,53.3,0.0,15.5,53
2020-01-09,AUS,Austin (Bergstrom),77.3,61.8,67.9,0.039,19.5,79
2020-01-10,AUS,Austin (Bergstrom),74.6,62.9,69.2,1.492,27.8,86
2020-01-11,AUS,Austin (Bergstrom),63.7,44.0,51.7,0.024,17.8,61
2020-01-12,AUS,Austin (Bergstrom),61.9,34.4,47.6,0.0,10.1,75
2020-01-13,AUS,Austin (Bergstrom),62.9,46.8,55.0,0.055,6.3,95
2020-01-14,AUS,Austin (Bergstrom),73.7,58.4,65.3,0.02,8.5,92
2020-01-15,AUS,Austin (Bergstrom),77.1,68.3,71.8,0.067,15.4,87
2020-01-16,AUS,Austin (Bergstrom),67.4,58.4,64.6,0.362,12.3,90
2020-01-17,AUS,Austin (Bergstrom),73.7,59.2,65.9,0.248,14.9,88
2020-01-18,AUS,Austin (Bergstrom),67.3,51.2,63.3,0.059,17.0,73
2020-01-19,AUS,Austin (Bergstrom),55.5,41.2,48.3,0.0,14.4,38
2020-01-20,AUS,Austin (Bergstrom),57.4,40.1,48.5,0.0,7.2,46
2020-01-21,AUS,Austin (Bergstrom),60.6,44.7,52.2,0.035,15.3,50
2020-01-22,AUS,Austin (Bergstrom),57.6,48.4,53.3,0.787,13.0,91
2020-01-23,AUS,Austin (Bergstrom),64.5,47.5,55.6,0.0,16.1,80
2020-01-24,AUS,Austin (Bergstrom),63.2,41.4,51.8,0.0,6.4,67
2020-01-25,AUS,Austin (Bergstrom),66.7,42.9,54.9,0.063,17.7,69
2020-01-26,AUS,Austin (Bergstrom),74.6,51.2,61.9,0.004,9.4,75
2020-01-27,AUS,Austin (Bergstrom),70.1,44.6,56.9,0.0,10.4,82
2020-01-28,AUS,Austin (Bergstrom),70.6,51.1,58.0,0.276,20.9,73
2020-01-29,AUS,Austin (Bergstrom),59.5,44.0,50.4,0.0,16.3,62
2020-01-30,AUS,Austin (Bergstrom),51.6,43.5,46.6,0.0,9.7,75
2020-01-31,AUS,Austin (Bergstrom),59.3,43.2,49.4,0.0,8.9,69
2020-02-01,AUS,Austin (Bergstrom),71.0,39.1,53.9,0.0,11.2,54
2020-02-02,AUS,Austin (Bergstrom),74.1,43.1,58.5,0.0,14.4,44
2020-02-03,AUS,Austin (Bergstrom),72.0,56.3,63.1,0.094,20.2,77
2020-02-04,AUS,Austin (Bergstrom),77.5,49.9,66.2,0.008,16.3,78
2020-02-05,AUS,Austin (Bergstrom),52.1,36.2,43.9,0.079,18.3,63
2020-02-06,AUS,Austin (Bergstrom),53.9,32.6,41.4,0.059,13.6,51
2020-02-07,AUS,Austin (Bergstrom),72.3,38.7,53.0,0.0,14.6,43
2020-02-08,AUS,Austin (Bergstrom),64.1,43.5,53.4,0.004,14.0,68
