date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,precipitation,wind_speed,humidity
2020-01-01,CHI,Chicago (Midway),41.6,20.6,31.4,0.0,18.7,70
2020-01-02,CHI,Chicago (Midway),49.7,36.7,42.2,0.0,17.3,68
2020-01-03,CHI,Chicago (Midway),40.2,31.7,36.3,0.0,6.5,84
2020-01-04,CHI,Chicago (Midway),35.4,27.6,31.4,0.071,11.8,72
2020-01-05,CHI,Chicago (Midway),45.6,22.7,32.3,0.024,20.6,72
2020-01-06,CHI,Chicago (Midway),40.1,25.4,32.3,0.0,12.8,61
2020-01-07,CHI,Chicago (Midway),41.2,27.1,33.2,0.004,14.1,65
2020-01-08,CHI,Chicago (Midway),28.9,16.1,21.6,0.0,14.6,53
2020-01-09,CHI,Chicago (Midway),49.8,22.2,38.9,0.02,22.8,60
2020-01-10,CHI,Chicago (Midway),47.8,37.0,42.9,0.445,17.5,96
2020-01-11,CHI,Chicago (Midway),36.9,30.7,33.5,1.453,23.7,88
2020-01-12,CHI,Chicago (Midway),31.7,23.8,28.3,0.016,11.3,83
2020-01-13,CHI,Chicago (Midway),33.5,29.0,31.5,0.0,9.8,84
2020-01-14,CHI,Chicago (Midway),43.9,28.1,35.0,0.0,15.9,87
2020-01-15,CHI,Chicago (Midway),36.7,25.1,31.5,0.031,12.2,94
2020-01-16,CHI,Chicago (Midway),30.8,15.3,21.9,0.0,14.8,56
2020-01-17,CHI,Chicago (Midway),29.0,15.3,24.3,0.244,17.4,62
2020-01-18,CHI,Chicago (Midway),35.9,9.2,27.3,0.378,23.7,83
2020-01-19,CHI,Chicago (Midway),19.6,2.2,10.8,0.0,19.5,60
2020-01-20,CHI,Chicago (Midway),30.4,18.9,23.1,0.0,9.7,70
2020-01-21,CHI,Chicago (Midway),32.2,14.6,22.7,0.0,11.6,69
2020-01-22,CHI,Chicago (Midway),36.5,22.3,28.5,0.0,14.5,59
2020-01-23,CHI,Chicago (Midway),33.5,29.5,31.8,0.232,10.8,83
2020-01-24,CHI,Chicago (Midway),39.3,32.9,35.5,0.402,8.7,97
2020-01-25,CHI,Chicago (Midway),34.5,31.9,33.1,0.303,12.1,96
2020-01-26,CHI,Chicago (Midway),35.3,28.4,31.5,0.0,11.1,87
2020-01-27,CHI,Chicago (Midway),35.3,27.8,31.0,0.0,6.7,85
