date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,precipitation,wind_speed,humidity
2020-01-01,HOU,Houston (Hobby),61.0,48.5,55.2,0.311,12.8,67
2020-01-02,HOU,Houston (Hobby),69.9,58.2,62.9,0.669,13.1,93
2020-01-03,HOU,Houston (Hobby),66.1,54.5,59.1,0.0,14.6,80
2020-01-04,HOU,Houston (Hobby),64.9,43.1,54.4,0.0,15.2,56
2020-01-05,HOU,Houston (Hobby),70.3,47.3,57.4,0.0,11.4,66
2020-01-06,HOU,Houston (Hobby),72.1,54.3,62.0,0.0,10.4,75
2020-01-07,HOU,Houston (Hobby),62.6,47.7,57.0,0.0,11.9,49
2020-01-08,HOU,Houston (Hobby),67.1,41.6,54.8,0.0,17.1,69
2020-01-09,HOU,Houston (Hobby),75.2,63.2,68.3,0.067,21.2,80
2020-01-10,HOU,Houston (Hobby),75.0,67.8,71.0,0.047,23.2,88
2020-01-11,HOU,Houston (Hobby),73.0,44.5,56.4,0.591,23.7,72
2020-01-12,HOU,Houston (Hobby),62.0,37.3,48.9,0.0,6.9,80
2020-01-13,HOU,Houston (Hobby),66.4,54.3,60.2,0.094,10.4,91
2020-01-14,HOU,Houston (Hobby),77.6,67.2,71.2,0.76,13.9,92
2020-01-15,HOU,Houston (Hobby),78.3,68.3,71.6,0.008,12.5,91
2020-01-16,HOU,Houston (Hobby),72.1,66.2,68.9,0.035,13.6,95
2020-01-17,HOU,Houston (Hobby),71.0,60.8,65.2,0.154,13.8,92
2020-01-18,HOU,Houston (Hobby),70.4,60.9,66.6,0.748,13.2,91
2020-01-19,HOU,Houston (Hobby),58.8,45.2,51.5,0.0,16.3,44
2020-01-20,HOU,Houston (Hobby),57.8,41.9,48.4,0.0,10.0,52
2020-01-21,HOU,Houston (Hobby),55.6,39.3,48.2,0.0,10.6,64
2020-01-22,HOU,Houston (Hobby),58.8,45.8,52.7,0.654,15.7,85
