date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range
2020-01-01,HOU,Houston (Hobby),61.0,48.5,55.2,1016.3,12.8,127,21.7,0.311,0.311,67,43.8,100,0.0,0,0,1,0,,12.5
2020-01-02,HOU,Houston (Hobby),69.9,58.2,62.9,1005.6,13.1,204,27.1,0.669,0.669,93,60.8,98,1.365875,0,1,0,0,-10.699999999999932,11.700000000000003
2020-01-03,HOU,Houston (Hobby),66.1,54.5,59.1,1012.2,14.6,292,26.2,0.0,0.0,80,52.1,39,9.02481388888889,0,0,0,1,6.600000000000023,11.599999999999994
2020-01-04,HOU,Houston (Hobby),64.9,43.1,54.4,1026.5,15.2,306,25.7,0.0,0.0,56,38.5,0,9.252797222222222,0,0,0,1,14.299999999999955,21.800000000000004
2020-01-05,HOU,Houston (Hobby),70.3,47.3,57.4,1027.0,11.4,214,22.1,0.0,0.0,66,45.6,0,9.253186111111111,0,1,0,0,0.5,23.0
2020-01-06,HOU,Houston (Hobby),72.1,54.3,62.0,1021.4,10.4,213,20.6,0.0,0.0,75,53.5,46,8.069902777777779,0,1,0,0,-5.600000000000023,17.799999999999997
2020-01-07,HOU,Houston (Hobby),62.6,47.7,57.0,1027.8,11.9,6,21.7,0.0,0.0,49,36.7,32,9.26099722222222,1,0,0,0,6.399999999999977,14.899999999999999
2020-01-08,HOU,Houston (Hobby),67.1,41.6,54.8,1026.5,17.1,131,31.8,0.0,0.0,69,44.4,45,9.162530555555556,0,0,1,0,-1.2999999999999545,25.499999999999993
2020-01-09,HOU,Houston (Hobby),75.2,63.2,68.3,1018.4,21.2,162,38.3,0.067,0.067,80,61.7,95,5.114083333333333,0,1,0,0,-8.100000000000023,12.0
2020-01-10,HOU,Houston (Hobby),75.0,67.8,71.0,1012.1,23.2,161,53.0,0.047,0.047,88,67.2,98,0.38680555555555557,0,1,0,0,-6.2999999999999545,7.200000000000003
2020-01-11,HOU,Houston (Hobby),73.0,44.5,56.4,1016.7,23.7,296,51.9,0.591,0.591,72,47.0,34,8.959433333333333,0,0,0,1,4.600000000000023,28.5
2020-01-12,HOU,Houston (Hobby),62.0,37.3,48.9,1023.1,6.9,85,16.1,0.0,0.0,80,42.8,59,9.231525,0,0,1,0,6.399999999999977,24.700000000000003
2020-01-13,HOU,Houston (Hobby),66.4,54.3,60.2,1021.7,10.4,95,19.7,0.094,0.094,91,57.4,100,1.7232138888888888,0,0,1,0,-1.3999999999999773,12.100000000000009
2020-01-14,HOU,Houston (Hobby),77.6,67.2,71.2,1019.2,13.9,192,25.7,0.76,0.76,92,68.7,88,7.027355555555555,0,1,0,0,-2.5,10.399999999999991
2020-01-15,HOU,Houston (Hobby),78.3,68.3,71.6,1019.1,12.5,176,23.5,0.008,0.008,91,68.6,100,4.159305555555555,0,1,0,0,-0.10000000000002274,10.0
2020-01-16,HOU,Houston (Hobby),72.1,66.2,68.9,1023.6,13.6,119,20.1,0.035,0.035,95,67.3,100,5.306358333333333,0,0,1,0,4.5,5.8999999999999915
2020-01-17,HOU,Houston (Hobby),71.0,60.8,65.2,1023.1,13.8,107,27.5,0.154,0.154,92,62.8,99,3.664805555555555,0,0,1,0,-0.5,10.200000000000003
2020-01-18,HOU,Houston (Hobby),70.4,60.9,66.6,1021.2,13.2,298,22.4,0.748,0.748,91,64.0,97,0.38219722222222224,0,0,0,1,-1.8999999999999773,9.500000000000007
2020-01-19,HOU,Houston (Hobby),58.8,45.2,51.5,1029.6,16.3,20,30.0,0.0,0.0,44,29.9,12,9.611225000000001,1,0,0,0,8.399999999999864,13.599999999999994
2020-01-20,HOU,Houston (Hobby),57.8,41.9,48.4,1033.6,10.0,18,20.1,0.0,0.0,52,30.9,6,9.625822222222222,1,0,0,0,4.0,15.899999999999999
2020-01-21,HOU,Houston (Hobby),55.6,39.3,48.2,1031.4,10.6,97,21.7,0.0,0.0,64,35.9,40,8.865113888888889,0,0,1,0,-2.199999999999818,16.300000000000004
2020-01-22,HOU,Houston (Hobby),58.8,45.8,52.7,1019.9,15.7,121,27.7,0.654,0.654,85,48.3,97,0.0,0,0,1,0,-11.500000000000114,13.0
2020-01-23,HOU,Houston (Hobby),64.7,48.5,59.1,1014.3,15.5,310,28.9,0.161,0.161,86,54.7,61,8.432052777777777,0,0,0,1,-5.600000000000023,16.200000000000003
2020-01-24,HOU,Houston (Hobby),63.8,41.0,52.8,1020.7,8.5,325,17.9,0.0,0.0,70,41.7,0,9.724391666666666,1,0,0,0,6.400000000000091,22.799999999999997
2020-01-25,HOU,Houston (Hobby),64.5,44.0,55.0,1020.3,13.5,128,25.1,0.189,0.189,78,47.9,66,5.067375,0,0,1,0,-0.40000000000009095,20.5
2020-01-26,HOU,Houston (Hobby),72.7,54.9,64.0,1014.8,10.1,301,19.0,0.63,0.63,85,58.8,52,7.483758333333333,0,0,0,1,-5.5,17.800000000000004
2020-01-27,HOU,Houston (Hobby),63.5,51.1,55.7,1016.5,10.6,90,18.6,0.0,0.0,89,52.2,68,5.986069444444444,0,0,1,0,1.7000000000000455,12.399999999999999
2020-01-28,HOU,Houston (Hobby),65.6,54.1,59.0,1013.0,15.9,118,29.5,0.614,0.614,88,55.4,70,5.566519444444444,0,0,1,0,-3.5,11.499999999999993
