date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range,ecmwf_forecast,gfs_forecast,gdps_forecast,icon_forecast,nws_forecast,ensemble_mean,ensemble_spread,model_disagreement,nws_vs_ensemble,best_model
2020-01-01,HOU,Houston (Hobby),61.0,48.5,55.2,1016.3,12.8,127,21.7,0.311,0.311,67,43.8,100,0.0,0,0,1,0,,12.5,60.425773778519876,59.78783233556068,60.02664735423681,62.41539666440942,62.766263658868134,60.6639125331817,1.0365845538804062,0.26316530511598984,2.1023511256864325,60.425773778519876
2020-01-02,HOU,Houston (Hobby),69.9,58.2,62.9,1005.6,13.1,204,27.1,0.669,0.669,93,60.8,98,1.365875,0,1,0,0,-10.699999999999932,11.700000000000005,69.87131673021945,68.80807614577014,67.20070065955973,72.03027740817294,71.3802847507123,69.47759273593057,1.7538320623366612,1.0977920614152057,1.902692014781735,69.87131673021945
2020-01-03,HOU,Houston (Hobby),66.1,54.5,59.1,1012.2,14.6,292,26.2,0.0,0.0,80,52.1,39,9.02481388888889,0,0,0,1,6.600000000000023,11.599999999999994,65.03999634389028,67.53919899524978,65.95955275885075,65.66933574270648,67.188028820724,66.05202096017432,0.9207185612200097,1.0320895807926591,1.1360078605496824,65.03999634389028
2020-01-04,HOU,Houston (Hobby),64.9,43.1,54.4,1026.5,15.2,306,25.7,0.0,0.0,56,38.5,0,9.252797222222222,0,0,0,1,14.299999999999956,21.800000000000004,63.78775262513092,64.21248696097979,65.14292212839909,64.15082321067219,66.57271302566882,64.3234962312955,0.5001547366909219,0.5659400478071538,2.249216794373325,63.78775262513092
2020-01-05,HOU,Houston (Hobby),70.3,47.3,57.4,1027.0,11.4,214,22.1,0.0,0.0,66,45.6,0,9.253186111111113,0,1,0,0,0.5,23.0,73.1035997555174,68.79140373478572,66.9697494073919,67.2973897487856,69.92382964626255,69.04053566162015,2.4442416989844573,2.5720199390735234,0.8832939846423926,73.1035997555174
2020-01-06,HOU,Houston (Hobby),72.1,54.3,62.0,1021.4,10.4,213,20.6,0.0,0.0,75,53.5,46,8.069902777777779,0,1,0,0,-5.600000000000023,17.799999999999997,71.10525311481072,72.51572100213416,72.3651953440522,69.69517473007885,67.56279042629647,71.42033604776898,1.1366712491655568,0.6324144260018827,3.857545621472511,71.10525311481072
2020-01-07,HOU,Houston (Hobby),62.6,47.7,57.0,1027.8,11.9,6,21.7,0.0,0.0,49,36.7,32,9.26099722222222,1,0,0,0,6.399999999999977,14.9,63.04389986051915,62.870857669439914,61.7483640032669,60.11428462230155,63.77847815691248,61.944351538881875,1.16779451904597,0.5742965540475825,1.8341266180306022,63.04389986051915
2020-01-08,HOU,Houston (Hobby),67.1,41.6,54.8,1026.5,17.1,131,31.8,0.0,0.0,69,44.4,45,9.162530555555556,0,0,1,0,-1.2999999999999543,25.499999999999996,69.00784931813591,67.65596488043784,65.40505221886987,67.16682824835672,63.684714797665784,67.30892366645008,1.289544839363536,1.4860217689962623,3.624208868784301,69.00784931813591
2020-01-09,HOU,Houston (Hobby),75.2,63.2,68.3,1018.4,21.2,162,38.3,0.067,0.067,80,61.7,95,5.114083333333333,0,1,0,0,-8.100000000000023,12.0,76.78694107075819,75.36368866905909,71.66368617649354,74.74898845933448,76.35825377558558,74.64082609391133,1.871055917227754,2.1593056125507926,1.717427681674252,76.78694107075819
2020-01-10,HOU,Houston (Hobby),75.0,67.8,71.0,1012.1,23.2,161,53.0,0.047,0.047,88,67.2,98,0.3868055555555555,0,1,0,0,-6.2999999999999545,7.200000000000003,74.50042856853672,74.44820855711966,72.55119558590546,75.84981148062248,73.37882699995215,74.33741104804608,1.1743904318465948,0.9068194946640497,0.9585840480939254,74.50042856853672
