date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,precipitation,wind_speed,humidity
2020-01-01,MIA,Miami (Intl Airport),76.7,57.9,66.3,0.0,6.9,78
2020-01-02,MIA,Miami (Intl Airport),78.9,62.8,71.9,0.0,10.0,81
2020-01-03,MIA,Miami (Intl Airport),80.7,73.2,76.3,0.02,15.1,85
2020-01-04,MIA,Miami (Intl Airport),84.3,68.7,76.8,0.028,14.9,81
2020-01-05,MIA,Miami (Intl Airport),66.8,56.0,61.9,0.0,14.7,66
2020-01-06,MIA,Miami (Intl Airport),71.3,52.1,61.5,0.0,10.2,75
2020-01-07,MIA,Miami (Intl Airport),76.1,58.2,65.7,0.0,7.4,73
2020-01-08,MIA,Miami (Intl Airport),75.4,55.3,65.2,0.0,14.7,66
2020-01-09,MIA,Miami (Intl Airport),77.3,70.2,73.4,0.0,20.2,57
2020-01-10,MIA,Miami (Intl Airport),78.4,72.1,74.8,0.031,21.4,75
2020-01-11,MIA,Miami (Intl Airport),80.3,74.0,76.4,0.02,19.5,82
2020-01-12,MIA,Miami (Intl Airport),79.8,73.6,76.1,0.059,17.2,85
2020-01-13,MIA,Miami (Intl Airport),80.1,71.5,75.4,0.051,14.4,79
2020-01-14,MIA,Miami (Intl Airport),80.4,69.3,74.6,0.031,13.0,82
2020-01-15,MIA,Miami (Intl Airport),79.5,65.7,72.0,0.0,10.5,73
2020-01-16,MIA,Miami (Intl Airport),79.7,64.7,71.2,0.0,8.8,73
2020-01-17,MIA,Miami (Intl Airport),77.7,65.8,71.9,0.114,17.5,80
2020-01-18,MIA,Miami (Intl Airport),75.8,69.6,72.2,0.0,18.4,63
2020-01-19,MIA,Miami (Intl Airport),78.9,67.3,72.5,0.0,13.7,72
2020-01-20,MIA,Miami (Intl Airport),77.4,58.5,69.0,0.012,9.8,76
2020-01-21,MIA,Miami (Intl Airport),69.1,49.5,58.0,0.0,15.1,61
2020-01-22,MIA,Miami (Intl Airport),65.5,39.6,51.6,0.0,16.3,59
2020-01-23,MIA,Miami (Intl Airport),74.2,54.2,65.1,0.075,14.4,81
2020-01-24,MIA,Miami (Intl Airport),76.6,61.9,70.1,0.051,6.7,77
2020-01-25,MIA,Miami (Intl Airport),77.9,60.2,68.2,0.059,7.9,77
2020-01-26,MIA,Miami (Intl Airport),76.1,51.4,62.1,0.0,9.8,61
2020-01-27,MIA,Miami (Intl Airport),75.6,52.4,63.9,0.024,9.1,72
2020-01-28,MIA,Miami (Intl Airport),79.6,60.0,68.9,0.016,11.6,83
2020-01-29,MIA,Miami (Intl Airport),82.9,58.5,69.8,0.059,13.6,77
2020-01-30,MIA,Miami (Intl Airport),79.8,62.9,71.1,0.102,11.6,72
2020-01-31,MIA,Miami (Intl Airport),79.7,57.6,69.2,0.201,11.9,82
2020-02-01,MIA,Miami (Intl Airport),81.0,64.1,71.0,2.291,17.1,87
2020-02-02,MIA,Miami (Intl Airport),66.9,50.4,59.2,0.0,11.6,70
2020-02-03,MIA,Miami (Intl Airport),69.3,45.6,57.5,0.0,6.8,78
2020-02-04,MIA,Miami (Intl Airport),77.1,58.4,68.4,0.0,10.4,74
2020-02-05,MIA,Miami (Intl Airport),79.1,63.1,72.3,0.0,11.1,79
2020-02-06,MIA,Miami (Intl Airport),81.9,73.2,77.1,0.035,19.9,81
2020-02-07,MIA,Miami (Intl Airport),76.9,60.4,70.0,0.996,17.6,76
2020-02-08,MIA,Miami (Intl Airport),74.1,55.6,65.5,0.0,11.9,68
2020-02-09,MIA,Miami (Intl Airport),75.6,68.9,72.1,0.0,17.3,70
2020-02-10,MIA,Miami (Intl Airport),78.1,71.0,74.3,0.091,16.1,79
2020-02-11,MIA,Miami (Intl Airport),80.5,72.5,75.5,0.031,11.4,86
2020-02-12,MIA,Miami (Intl Airport),80.1,72.1,75.7,0.028,14.9,86
2020-02-13,MIA,Miami (Intl Airport),80.9,72.9,76.7,0.063,15.7,83
2020-02-14,MIA,Miami (Intl Airport),83.0,68.4,75.7,0.031,8.5,82
2020-02-15,MIA,Miami (Intl Airport),78.8,65.7,71.6,0.291,13.2,89
2020-02-16,MIA,Miami (Intl Airport),79.5,70.2,74.2,0.083,11.5,81
2020-02-17,MIA,Miami (Intl Airport),80.5,64.8,73.6,0.012,9.6,84
2020-02-18,MIA,Miami (Intl Airport),80.6,70.3,75.8,0.043,13.1,82
2020-02-19,MIA,Miami (Intl Airport),80.3,72.4,76.3,0.106,7.8,83
2020-02-20,MIA,Miami (Intl Airport),81.5,71.9,76.4,0.063,10.4,84
2020-02-21,MIA,Miami (Intl Airport),79.2,58.5,69.9,0.035,17.0,81
2020-02-22,MIA,Miami (Intl Airport),72.1,57.3,64.6,0.063,17.6,77
2020-02-23,MIA,Miami (Intl Airport),73.9,62.3,67.8,0.0,14.2,66
2020-02-24,MIA,Miami (Intl Airport),77.6,63.1,70.9,0.0,13.9,62
2020-02-25,MIA,Miami (Intl Airport),80.6,71.6,75.6,0.059,15.9,75
2020-02-26,MIA,Miami (Intl Airport),82.9,72.0,76.5,0.689,15.2,86
2020-02-27,MIA,Miami (Intl Airport),68.2,53.7,63.6,0.142,13.9,66
2020-02-28,MIA,Miami (Intl Airport),67.0,47.8,56.2,0.0,14.4,59
2020-02-29,MIA,Miami (Intl Airport),70.3,47.5,57.9,0.0,12.2,59
2020-03-01,MIA,Miami (Intl Airport),73.4,48.5,61.8,0.0,13.3,53
2020-03-02,MIA,Miami (Intl Airport),75.4,65.2,70.5,0.0,15.2,57
2020-03-03,MIA,Miami (Intl Airport),78.6,67.7,73.8,0.028,15.5,74
2020-03-04,MIA,Miami (Intl Airport),82.8,70.8,75.8,0.0,14.3,83
2020-03-05,MIA,Miami (Intl Airport),85.2,73.7,78.8,0.098,13.2,79
2020-03-06,MIA,Miami (Intl Airport),86.8,65.7,76.2,0.059,13.1,71
2020-03-07,MIA,Miami (Intl Airport),73.7,58.0,65.7,0.0,17.8,52
2020-03-08,MIA,Miami (Intl Airport),71.7,65.8,68.9,0.004,21.5,51
2020-03-09,MIA,Miami (Intl Airport),75.5,68.5,71.5,0.016,20.4,56
2020-03-10,MIA,Miami (Intl Airport),78.3,69.9,73.5,0.008,14.8,61
2020-03-11,MIA,Miami (Intl Airport),78.1,66.3,72.1,0.051,11.5,71
2020-03-12,MIA,Miami (Intl Airport),81.3,64.4,72.0,0.008,10.5,72
2020-03-13,MIA,Miami (Intl Airport),81.6,64.5,73.5,0.0,11.4,72
