date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range
2020-01-01,MIA,Miami (Intl Airport),76.7,57.9,66.3,1017.7,6.9,12,12.5,0.0,0.0,78,58.5,3,9.616872222222222,1,0,0,0,,18.800000000000004
2020-01-02,MIA,Miami (Intl Airport),78.9,62.8,71.9,1017.9,10.0,124,19.7,0.0,0.0,81,65.4,84,9.474225,0,0,1,0,0.1999999999999318,16.10000000000001
2020-01-03,MIA,Miami (Intl Airport),80.7,73.2,76.3,1018.4,15.1,155,28.0,0.02,0.02,85,71.2,50,9.475625,0,1,0,0,0.5,7.5
2020-01-04,MIA,Miami (Intl Airport),84.3,68.7,76.8,1018.7,14.9,213,28.2,0.028,0.028,81,70.1,62,9.508566666666665,0,1,0,0,0.3000000000000682,15.599999999999994
2020-01-05,MIA,Miami (Intl Airport),66.8,56.0,61.9,1023.6,14.7,347,25.9,0.0,0.0,66,50.2,20,9.612525,1,0,0,0,4.899999999999977,10.799999999999997
2020-01-06,MIA,Miami (Intl Airport),71.3,52.1,61.5,1022.6,10.2,359,18.8,0.0,0.0,75,53.0,39,8.127375,1,0,0,0,-1.0,19.199999999999996
2020-01-07,MIA,Miami (Intl Airport),76.1,58.2,65.7,1021.7,7.4,346,15.0,0.0,0.0,73,56.1,43,9.454230555555556,1,0,0,0,-0.8999999999999773,17.89999999999999
2020-01-08,MIA,Miami (Intl Airport),75.4,55.3,65.2,1025.6,14.7,24,26.4,0.0,0.0,66,53.2,71,8.887730555555557,1,0,0,0,3.8999999999998636,20.10000000000001
2020-01-09,MIA,Miami (Intl Airport),77.3,70.2,73.4,1027.0,20.2,87,37.4,0.0,0.0,57,57.2,84,8.71365,0,0,1,0,1.400000000000091,7.099999999999994
2020-01-10,MIA,Miami (Intl Airport),78.4,72.1,74.8,1025.2,21.4,98,39.1,0.031,0.031,75,66.2,77,5.591777777777779,0,0,1,0,-1.7999999999999545,6.300000000000011
2020-01-11,MIA,Miami (Intl Airport),80.3,74.0,76.4,1023.4,19.5,122,35.3,0.02,0.02,82,70.3,39,9.508522222222222,0,0,1,0,-1.8000000000000682,6.299999999999997
2020-01-12,MIA,Miami (Intl Airport),79.8,73.6,76.1,1024.5,17.2,116,31.8,0.059,0.059,85,71.1,21,9.605719444444443,0,0,1,0,1.1000000000000227,6.200000000000003
2020-01-13,MIA,Miami (Intl Airport),80.1,71.5,75.4,1025.7,14.4,97,27.5,0.051,0.051,79,68.0,30,9.668088888888889,0,0,1,0,1.2000000000000455,8.599999999999994
2020-01-14,MIA,Miami (Intl Airport),80.4,69.3,74.6,1024.2,13.0,114,25.3,0.031,0.031,82,68.3,20,9.714813888888889,0,0,1,0,-1.5,11.100000000000009
2020-01-15,MIA,Miami (Intl Airport),79.5,65.7,72.0,1023.1,10.5,104,21.7,0.0,0.0,73,62.3,8,9.88995,0,0,1,0,-1.1000000000000227,13.799999999999997
2020-01-16,MIA,Miami (Intl Airport),79.7,64.7,71.2,1023.7,8.8,84,17.7,0.0,0.0,73,61.6,5,9.904997222222221,0,0,1,0,0.6000000000000227,15.0
2020-01-17,MIA,Miami (Intl Airport),77.7,65.8,71.9,1024.4,17.5,57,31.1,0.114,0.114,80,65.2,51,9.208933333333334,0,0,1,0,0.7000000000000455,11.900000000000006
2020-01-18,MIA,Miami (Intl Airport),75.8,69.6,72.2,1024.8,18.4,95,32.4,0.0,0.0,63,58.7,63,7.799197222222222,0,0,1,0,0.3999999999998636,6.200000000000003
2020-01-19,MIA,Miami (Intl Airport),78.9,67.3,72.5,1020.1,13.7,152,25.7,0.0,0.0,72,62.5,47,9.750572222222221,0,1,0,0,-4.699999999999932,11.600000000000009
2020-01-20,MIA,Miami (Intl Airport),77.4,58.5,69.0,1018.8,9.8,342,19.2,0.012,0.012,76,60.6,59,7.753908333333333,1,0,0,0,-1.3000000000000682,18.900000000000006
