date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range,ecmwf_forecast,gfs_forecast,gdps_forecast,icon_forecast,nws_forecast,ensemble_mean,ensemble_spread,model_disagreement,nws_vs_ensemble,best_model
2020-01-01,MIA,Miami (Intl Airport),76.7,57.9,66.3,1017.7,6.9,12,12.5,0.0,0.0,78,58.5,3,9.616872222222222,1,0,0,0,,18.800000000000004,76.13483679539323,73.75009864057932,74.70448744178613,77.55053274935484,74.33632915001336,75.53498890677838,1.4402951448010577,0.9800075580353915,1.198659756765025,76.13483679539323
2020-01-02,MIA,Miami (Intl Airport),78.9,62.8,71.9,1017.9,10.0,124,19.7,0.0,0.0,81,65.4,84,9.474225,0,0,1,0,0.1999999999999318,16.10000000000001,81.31511418478448,81.27856690687929,81.56687833206594,79.08716786951612,79.5446540432374,80.81193182331145,1.0019600438024243,0.1281684513407595,1.2672777800740533,81.31511418478448
2020-01-03,MIA,Miami (Intl Airport),80.7,73.2,76.3,1018.4,15.1,155,28.0,0.02,0.02,85,71.2,50,9.475625,0,1,0,0,0.5,7.5,78.90943221863358,82.69156702031498,81.45966691007418,81.55095843793839,84.92077952863221,81.15290614674028,1.3832209099067838,1.5750068261272872,3.767873381891931,78.90943221863358
2020-01-04,MIA,Miami (Intl Airport),84.3,68.7,76.8,1018.7,14.9,213,28.2,0.028,0.028,81,70.1,62,9.508566666666663,0,1,0,0,0.3000000000000682,15.599999999999994,83.39105552407874,84.04771690024536,84.95334184308433,82.89684689181193,83.8310029468079,83.8222402898051,0.7701466855298018,0.6404945348533584,0.008762657002804985,83.39105552407874
2020-01-05,MIA,Miami (Intl Airport),66.8,56.0,61.9,1023.6,14.7,347,25.9,0.0,0.0,66,50.2,20,9.612525,1,0,0,0,4.899999999999977,10.799999999999995,67.53942471570045,66.14915745725433,69.41797881945823,64.5336131572745,69.60692810058335,66.91004353742188,1.7966795085054956,1.3394443984417566,2.6968845631614613,67.53942471570045
2020-01-06,MIA,Miami (Intl Airport),71.3,52.1,61.5,1022.6,10.2,359,18.8,0.0,0.0,75,53.0,39,8.127375,1,0,0,0,-1.0,19.2,72.291778212224,70.16234282488682,69.45118286354,68.17957607413632,69.31206246896541,70.02121999369679,1.4909682201019576,1.2068888144698457,0.7091575247313813,72.291778212224
2020-01-07,MIA,Miami (Intl Airport),76.1,58.2,65.7,1021.7,7.4,346,15.0,0.0,0.0,73,56.1,43,9.454230555555556,1,0,0,0,-0.8999999999999773,17.89999999999999,77.6707649825045,75.98782854744265,78.42596176078368,75.17019339406316,77.8677654002664,76.8136871711985,1.2958709415649405,1.0191004085509605,1.0540782290679118,77.6707649825045
2020-01-08,MIA,Miami (Intl Airport),75.4,55.3,65.2,1025.6,14.7,24,26.4,0.0,0.0,66,53.2,71,8.887730555555557,1,0,0,0,3.899999999999864,20.10000000000001,74.32375209687338,73.46884998758033,75.18574556565865,74.40255023302001,71.54294462740697,74.3452244707831,0.6079176037089814,0.7009216775651794,2.8022798433761267,74.32375209687338
2020-01-09,MIA,Miami (Intl Airport),77.3,70.2,73.4,1027.0,20.2,87,37.4,0.0,0.0,57,57.2,84,8.71365,0,0,1,0,1.400000000000091,7.099999999999994,77.02652794892451,77.51287083286257,79.83671722299214,78.70520851569958,80.34985799808207,78.2703311301197,1.0912694657948938,1.2262841433352905,2.0795268679623717,77.02652794892451
2020-01-10,MIA,Miami (Intl Airport),78.4,72.1,74.8,1025.2,21.4,98,39.1,0.031,0.031,75,66.2,77,5.591777777777779,0,0,1,0,-1.7999999999999543,6.300000000000011,79.48053624759027,79.06522551789996,75.94211018705622,78.62480829690291,79.89198444332705,78.27817006236234,1.3822512922883954,1.5792681623606426,1.6138143809647119,79.48053624759027
2020-01-11,MIA,Miami (Intl Airport),80.3,74.0,76.4,1023.4,19.5,122,35.3,0.02,0.02,82,70.3,39,9.508522222222222,0,0,1,0,-1.8000000000000682,6.299999999999997,82.48615692405565,81.67257708346362,82.78076686921084,78.75200316295214,79.48395593462976,81.42287600992056,1.5945490176621893,0.4686614245838351,1.9389200752907954,82.48615692405565
2020-01-12,MIA,Miami (Intl Airport),79.8,73.6,76.1,1024.5,17.2,116,31.8,0.059,0.059,85,71.1,21,9.605719444444444,0,0,1,0,1.1000000000000227,6.200000000000003,80.4440260704919,82.12190538148512,79.50954270832216,79.67633106127627,81.51785076500744,80.43795130539385,1.03413564783854,1.0807907019382865,1.0798994596135856,80.4440260704919
2020-01-13,MIA,Miami (Intl Airport),80.1,71.5,75.4,1025.7,14.4,97,27.5,0.051,0.051,79,68.0,30,9.668088888888889,0,0,1,0,1.2000000000000457,8.599999999999994,78.41119375928231,83.31480909964685,78.34172781378463,77.22211586466103,80.12516752130645,79.32246163434371,2.352792946842308,2.328132451358942,0.802705886962741,78.41119375928231
2020-01-14,MIA,Miami (Intl Airport),80.4,69.3,74.6,1024.2,13.0,114,25.3,0.031,0.031,82,68.3,20,9.714813888888887,0,0,1,0,-1.5,11.100000000000009,82.94768805356335,81.57290626066722,81.90218108600727,80.46207864346067,80.01905625682207,81.72121351092463,0.8866234716488384,0.5860917360779441,1.7021572541025591,82.94768805356335
2020-01-15,MIA,Miami (Intl Airport),79.5,65.7,72.0,1023.1,10.5,104,21.7,0.0,0.0,73,62.3,8,9.88995,0,0,1,0,-1.1000000000000227,13.799999999999995,77.18263594561033,74.98122748419163,79.89254467688173,81.46882379151035,80.36033426207017,78.3813079745485,2.4906802416374485,2.008615916856405,1.9790262875216627,77.18263594561033
