date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range
2020-01-01,NYC,New York (Central Park),39.7,29.9,35.3,1007.8,17.5,270,33.1,0.0,0.0,60,22.1,44,4.020766666666667,0,0,0,1,,9.800000000000004
2020-01-02,NYC,New York (Central Park),47.4,28.0,36.5,1013.4,10.3,227,20.6,0.0,0.0,70,27.3,48,7.168044444444444,0,0,0,1,5.600000000000023,19.4
2020-01-03,NYC,New York (Central Park),48.7,35.8,43.8,1009.9,6.5,234,11.6,0.189,0.189,88,40.3,100,0.7198277777777778,0,0,0,1,-3.5,12.900000000000006
2020-01-04,NYC,New York (Central Park),49.1,39.6,45.3,1003.7,15.6,312,27.5,0.232,0.232,96,44.3,100,0.0,0,0,0,1,-6.199999999999932,9.5
2020-01-05,NYC,New York (Central Park),40.8,29.6,36.3,1010.1,22.8,307,42.7,0.016,0.016,60,23.2,61,7.083638888888888,0,0,0,1,6.399999999999977,11.199999999999996
2020-01-06,NYC,New York (Central Park),45.2,30.8,36.9,1014.8,14.8,248,29.1,0.051,0.0,66,25.9,50,6.883258333333333,0,0,0,1,4.699999999999932,14.400000000000002
2020-01-07,NYC,New York (Central Park),42.5,30.8,36.2,1016.0,11.6,254,21.9,0.035,0.028,65,24.9,82,6.0,0,0,0,1,1.2000000000000455,11.7
2020-01-08,NYC,New York (Central Park),40.7,27.9,33.2,1016.2,20.1,279,41.8,0.004,0.0,62,19.9,29,8.196077777777779,0,0,0,1,0.20000000000004547,12.800000000000004
2020-01-09,NYC,New York (Central Park),32.7,22.5,27.8,1038.4,14.5,291,26.8,0.0,0.0,50,11.1,49,8.071527777777778,0,0,0,1,22.200000000000045,10.200000000000003
2020-01-10,NYC,New York (Central Park),51.6,29.7,41.4,1034.0,14.5,221,26.2,0.0,0.0,80,35.5,76,3.2435500000000004,0,1,0,0,-4.400000000000091,21.900000000000002
2020-01-11,NYC,New York (Central Park),64.5,46.4,57.3,1022.8,20.8,203,39.1,0.008,0.008,79,50.6,93,6.4564055555555555,0,1,0,0,-11.200000000000045,18.1
2020-01-12,NYC,New York (Central Park),65.0,41.0,57.4,1017.9,28.0,235,62.2,0.102,0.102,70,47.2,57,7.527394444444444,0,0,0,1,-4.899999999999977,24.0
2020-01-13,NYC,New York (Central Park),47.7,34.0,40.3,1029.2,11.2,40,19.7,0.008,0.008,83,35.4,98,0.45613888888888887,1,0,0,0,11.300000000000068,13.700000000000003
2020-01-14,NYC,New York (Central Park),43.7,33.8,39.2,1025.1,8.9,88,17.7,0.024,0.024,91,36.6,100,0.31982499999999997,0,0,1,0,-4.100000000000136,9.900000000000006
2020-01-15,NYC,New York (Central Park),48.2,37.2,41.9,1020.7,9.6,283,19.7,0.004,0.004,81,35.9,43,7.593041666666667,0,0,0,1,-4.399999999999864,11.0
