date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,precipitation,wind_speed,humidity
2020-01-01,NYC,New York (Central Park),39.7,29.9,35.3,0.0,17.5,60
2020-01-02,NYC,New York (Central Park),47.4,28.0,36.5,0.0,10.3,70
2020-01-03,NYC,New York (Central Park),48.7,35.8,43.8,0.189,6.5,88
2020-01-04,NYC,New York (Central Park),49.1,39.6,45.3,0.232,15.6,96
2020-01-05,NYC,New York (Central Park),40.8,29.6,36.3,0.016,22.8,60
2020-01-06,NYC,New York (Central Park),45.2,30.8,36.9,0.051,14.8,66
2020-01-07,NYC,New York (Central Park),42.5,30.8,36.2,0.035,11.6,65
2020-01-08,NYC,New York (Central Park),40.7,27.9,33.2,0.004,20.1,62
2020-01-09,NYC,New York (Central Park),32.7,22.5,27.8,0.0,14.5,50
2020-01-10,NYC,New York (Central Park),51.6,29.7,41.4,0.0,14.5,80
2020-01-11,NYC,New York (Central Park),64.5,46.4,57.3,0.008,20.8,79
2020-01-12,NYC,New York (Central Park),65.0,41.0,57.4,0.102,28.0,70
2020-01-13,NYC,New York (Central Park),47.7,34.0,40.3,0.008,11.2,83
2020-01-14,NYC,New York (Central Park),43.7,33.8,39.2,0.024,8.9,91
2020-01-15,NYC,New York (Central Park),48.2,37.2,41.9,0.004,9.6,81
2020-01-16,NYC,New York (Central Park),47.1,33.1,41.4,0.114,22.8,68
2020-01-17,NYC,New York (Central Park),31.8,21.0,25.4,0.0,21.3,41
2020-01-18,NYC,New York (Central Park),36.0,20.3,26.4,0.327,13.8,59
2020-01-19,NYC,New York (Central Park),43.7,28.8,36.2,0.051,16.2,67
2020-01-20,NYC,New York (Central Park),30.0,18.7,24.2,0.0,15.1,45
2020-01-21,NYC,New York (Central Park),34.0,19.5,25.5,0.0,9.9,50
2020-01-22,NYC,New York (Central Park),37.0,21.7,27.5,0.0,6.5,66
2020-01-23,NYC,New York (Central Park),44.4,24.3,32.1,0.0,6.0,61
2020-01-24,NYC,New York (Central Park),49.2,26.5,36.6,0.0,7.9,69
2020-01-25,NYC,New York (Central Park),49.9,34.0,41.0,1.039,20.2,94
2020-01-26,NYC,New York (Central Park),45.6,33.6,38.8,0.0,13.9,74
2020-01-27,NYC,New York (Central Park),45.2,31.0,38.0,0.0,13.4,67
2020-01-28,NYC,New York (Central Park),41.6,31.0,36.8,0.0,13.3,62
2020-01-29,NYC,New York (Central Park),39.5,26.3,32.4,0.0,11.5,59
2020-01-30,NYC,New York (Central Park),34.3,21.5,28.2,0.0,9.9,67
2020-01-31,NYC,New York (Central Park),43.1,26.8,35.6,0.043,7.2,83
2020-02-01,NYC,New York (Central Park),41.4,30.9,36.3,0.028,4.3,94
2020-02-02,NYC,New York (Central Park),42.8,32.8,36.5,0.13,11.6,84
2020-02-03,NYC,New York (Central Park),53.6,33.3,42.2,0.004,10.8,76
2020-02-04,NYC,New York (Central Park),55.4,36.8,45.1,0.11,9.8,90
2020-02-05,NYC,New York (Central Park),46.4,37.4,40.0,0.031,11.9,68
2020-02-06,NYC,New York (Central Park),42.8,36.2,39.2,0.579,11.9,93
2020-02-07,NYC,New York (Central Park),56.0,32.3,39.9,0.406,27.2,78
2020-02-08,NYC,New York (Central Park),39.8,27.2,32.9,0.0,15.5,55
2020-02-09,NYC,New York (Central Park),42.7,28.2,34.1,0.0,8.1,81
2020-02-10,NYC,New York (Central Park),46.9,37.7,41.9,0.421,14.3,87
2020-02-11,NYC,New York (Central Park),45.8,41.0,42.9,0.35,11.5,95
2020-02-12,NYC,New York (Central Park),44.9,33.0,39.4,0.028,14.6,62
2020-02-13,NYC,New York (Central Park),43.3,35.3,39.1,0.724,12.4,91
2020-02-14,NYC,New York (Central Park),36.0,17.3,28.5,0.0,15.9,51
2020-02-15,NYC,New York (Central Park),28.9,15.0,22.0,0.0,12.1,53
2020-02-16,NYC,New York (Central Park),44.9,26.2,34.2,0.0,10.0,66
2020-02-17,NYC,New York (Central Park),48.9,31.2,38.3,0.0,8.5,66
2020-02-18,NYC,New York (Central Park),48.0,32.3,39.8,0.059,11.0,85
2020-02-19,NYC,New York (Central Park),45.8,29.5,39.6,0.0,14.4,60
2020-02-20,NYC,New York (Central Park),37.3,25.3,30.6,0.0,11.8,52
2020-02-21,NYC,New York (Central Park),34.9,20.0,26.8,0.0,11.4,46
2020-02-22,NYC,New York (Central Park),47.5,25.6,35.0,0.0,13.0,46
2020-02-23,NYC,New York (Central Park),52.8,27.7,39.6,0.0,10.9,47
2020-02-24,NYC,New York (Central Park),55.4,28.7,41.8,0.0,9.1,64
2020-02-25,NYC,New York (Central Park),49.5,39.6,45.1,0.094,7.4,85
2020-02-26,NYC,New York (Central Park),48.9,41.6,44.5,0.004,13.3,92
2020-02-27,NYC,New York (Central Park),47.5,29.5,38.9,0.488,24.1,61
2020-02-28,NYC,New York (Central Park),40.6,26.8,32.7,0.0,21.7,42
2020-02-29,NYC,New York (Central Park),35.9,24.3,29.3,0.0,17.8,44
2020-03-01,NYC,New York (Central Park),43.8,23.1,31.8,0.0,13.5,52
2020-03-02,NYC,New York (Central Park),55.8,29.7,43.9,0.0,17.2,63
2020-03-03,NYC,New York (Central Park),56.5,44.0,49.1,0.323,14.1,87
2020-03-04,NYC,New York (Central Park),54.9,40.7,46.9,0.008,21.1,57
2020-03-05,NYC,New York (Central Park),50.6,33.7,41.1,0.0,11.2,63
2020-03-06,NYC,New York (Central Park),43.8,32.3,39.0,0.177,12.2,86
2020-03-07,NYC,New York (Central Park),46.4,32.6,38.2,0.008,16.8,53
2020-03-08,NYC,New York (Central Park),56.1,28.5,42.1,0.0,12.4,45
2020-03-09,NYC,New York (Central Park),67.5,38.2,52.3,0.0,12.7,45
2020-03-10,NYC,New York (Central Park),60.3,46.4,53.9,0.039,16.3,69
2020-03-11,NYC,New York (Central Park),54.4,37.4,46.4,0.0,15.9,63
2020-03-12,NYC,New York (Central Park),48.8,34.4,42.6,0.035,11.4,78
2020-03-13,NYC,New York (Central Park),66.8,44.8,54.4,0.433,19.9,70
2020-03-14,NYC,New York (Central Park),53.8,38.4,46.3,0.004,13.3,44
2020-03-15,NYC,New York (Central Park),51.8,36.2,43.4,0.0,8.9,51
2020-03-16,NYC,New York (Central Park),44.2,28.1,36.6,0.0,12.7,58
2020-03-17,NYC,New York (Central Park),53.1,38.5,44.2,0.228,11.4,82
2020-03-18,NYC,New York (Central Park),50.5,33.5,43.0,0.004,10.3,65
2020-03-19,NYC,New York (Central Park),54.8,40.2,46.6,0.642,12.6,85
2020-03-20,NYC,New York (Central Park),74.5,44.3,58.5,0.228,21.5,79
2020-03-21,NYC,New York (Central Park),58.5,38.1,45.6,0.0,15.4,44
2020-03-22,NYC,New York (Central Park),42.2,30.1,35.9,0.0,12.7,52
2020-03-23,NYC,New York (Central Park),40.6,35.2,36.4,1.083,16.4,86
2020-03-24,NYC,New York (Central Park),56.6,33.4,43.2,0.0,11.2,71
2020-03-25,NYC,New York (Central Park),45.2,36.5,40.9,0.02,15.0,77
2020-03-26,NYC,New York (Central Park),56.6,33.1,44.1,0.0,12.5,73
2020-03-27,NYC,New York (Central Park),64.1,45.0,53.0,0.008,9.8,60
2020-03-28,NYC,New York (Central Park),49.0,41.1,45.4,0.417,11.7,79
2020-03-29,NYC,New York (Central Park),50.9,44.3,46.7,0.122,14.3,93
2020-03-30,NYC,New York (Central Park),53.8,39.4,45.8,0.307,7.4,88
2020-03-31,NYC,New York (Central Park),47.3,39.7,42.3,0.067,10.5,80
2020-04-01,NYC,New York (Central Park),54.2,36.0,44.3,0.0,14.0,58
2020-04-02,NYC,New York (Central Park),56.6,36.3,46.9,0.0,20.8,50
2020-04-03,NYC,New York (Central Park),49.2,42.0,46.5,0.276,17.2,79
2020-04-04,NYC,New York (Central Park),58.5,44.4,49.1,0.016,10.7,75
2020-04-05,NYC,New York (Central Park),60.7,41.6,50.0,0.0,10.6,84
2020-04-06,NYC,New York (Central Park),62.3,44.9,52.9,0.047,10.3,59
2020-04-07,NYC,New York (Central Park),63.5,45.0,52.7,0.0,13.9,53
2020-04-08,NYC,New York (Central Park),65.5,46.4,54.8,0.201,10.1,76
2020-04-09,NYC,New York (Central Park),61.2,42.2,49.2,0.354,19.8,74
2020-04-10,NYC,New York (Central Park),48.2,37.7,42.9,0.055,23.9,53
2020-04-11,NYC,New York (Central Park),52.1,35.8,43.8,0.0,17.1,45
2020-04-12,NYC,New York (Central Park),59.0,35.6,49.4,0.004,17.2,66
2020-04-13,NYC,New York (Central Park),64.2,54.1,58.7,1.638,31.1,84
2020-04-14,NYC,New York (Central Park),55.6,43.0,49.6,0.0,14.6,50
2020-04-15,NYC,New York (Central Park),51.0,39.6,44.8,0.055,15.2,50
2020-04-16,NYC,New York (Central Park),48.1,36.5,42.7,0.0,16.5,45
2020-04-17,NYC,New York (Central Park),49.7,31.6,40.6,0.094,13.2,61
2020-04-18,NYC,New York (Central Park),47.4,37.1,42.7,0.323,16.0,78
2020-04-19,NYC,New York (Central Park),59.6,34.6,48.0,0.0,17.9,55
2020-04-20,NYC,New York (Central Park),53.2,43.1,48.2,0.0,12.6,59
2020-04-21,NYC,New York (Central Park),59.5,39.3,47.4,0.366,16.3,70
2020-04-22,NYC,New York (Central Park),48.4,33.2,40.6,0.0,19.5,42
2020-04-23,NYC,New York (Central Park),50.0,33.4,41.8,0.047,8.3,57
2020-04-24,NYC,New York (Central Park),47.9,40.0,44.5,0.587,14.9,91
2020-04-25,NYC,New York (Central Park),61.6,36.2,48.8,0.004,10.4,72
2020-04-26,NYC,New York (Central Park),48.7,42.0,45.7,0.299,22.3,84
2020-04-27,NYC,New York (Central Park),46.5,39.6,42.8,0.043,16.1,79
2020-04-28,NYC,New York (Central Park),62.9,35.7,48.9,0.0,13.1,67
2020-04-29,NYC,New York (Central Park),56.8,39.8,47.8,0.071,14.2,83
2020-04-30,NYC,New York (Central Park),59.9,48.8,55.2,1.087,25.6,89
2020-05-01,NYC,New York (Central Park),65.2,52.2,57.2,0.362,14.7,86
2020-05-02,NYC,New York (Central Park),70.4,48.1,59.4,0.0,15.5,54
2020-05-03,NYC,New York (Central Park),75.7,52.4,63.8,0.205,11.1,64
2020-05-04,NYC,New York (Central Park),67.5,47.0,58.3,0.016,19.2,58
2020-05-05,NYC,New York (Central Park),58.7,43.7,50.6,0.0,12.7,51
2020-05-06,NYC,New York (Central Park),52.5,42.6,47.5,0.13,11.9,77
2020-05-07,NYC,New York (Central Park),61.9,41.6,52.9,0.02,13.2,54
2020-05-08,NYC,New York (Central Park),51.7,41.6,46.9,0.425,20.2,71
2020-05-09,NYC,New York (Central Park),46.4,32.6,40.0,0.051,21.9,49
2020-05-10,NYC,New York (Central Park),60.1,36.6,49.1,0.0,18.3,49
2020-05-11,NYC,New York (Central Park),58.9,42.7,50.1,0.126,14.6,70
2020-05-12,NYC,New York (Central Park),58.0,40.5,48.4,0.0,18.8,48
2020-05-13,NYC,New York (Central Park),59.6,36.1,48.5,0.0,14.9,48
2020-05-14,NYC,New York (Central Park),62.0,38.6,53.1,0.0,10.3,61
2020-05-15,NYC,New York (Central Park),80.9,54.9,68.6,0.134,14.9,70
2020-05-16,NYC,New York (Central Park),73.3,59.4,65.9,0.035,14.3,66
2020-05-17,NYC,New York (Central Park),63.4,50.3,56.4,0.0,10.8,72
2020-05-18,NYC,New York (Central Park),67.7,50.7,58.5,0.0,11.2,68
2020-05-19,NYC,New York (Central Park),63.9,51.1,57.1,0.0,21.2,53
2020-05-20,NYC,New York (Central Park),63.3,45.6,54.1,0.0,12.6,56
2020-05-21,NYC,New York (Central Park),62.5,42.4,53.1,0.0,10.0,76
2020-05-22,NYC,New York (Central Park),72.1,52.0,61.9,0.087,11.8,80
2020-05-23,NYC,New York (Central Park),68.3,53.5,60.5,0.583,15.4,92
2020-05-24,NYC,New York (Central Park),66.7,49.5,57.3,0.0,10.8,68
2020-05-25,NYC,New York (Central Park),68.6,54.3,59.7,0.0,7.2,85
2020-05-26,NYC,New York (Central Park),72.8,55.7,62.7,0.0,9.3,89
2020-05-27,NYC,New York (Central Park),72.6,58.3,63.7,0.0,12.0,91
2020-05-28,NYC,New York (Central Park),73.9,60.5,66.2,0.075,16.1,94
2020-05-29,NYC,New York (Central Park),78.1,64.9,71.6,0.051,12.6,89
2020-05-30,NYC,New York (Central Park),78.2,66.1,71.5,0.193,13.7,65
2020-05-31,NYC,New York (Central Park),68.6,53.9,60.6,0.0,17.6,47
2020-06-01,NYC,New York (Central Park),67.2,48.2,58.5,0.0,13.3,53
2020-06-02,NYC,New York (Central Park),70.5,54.0,63.3,0.0,13.7,58
2020-06-03,NYC,New York (Central Park),81.7,58.9,70.0,0.291,12.5,78
2020-06-04,NYC,New York (Central Park),83.9,64.1,73.4,0.004,13.9,72
2020-06-05,NYC,New York (Central Park),74.7,68.6,70.8,0.933,9.3,91
2020-06-06,NYC,New York (Central Park),83.7,66.6,75.2,0.138,14.7,71
2020-06-07,NYC,New York (Central Park),75.6,60.4,67.3,0.0,16.2,55
2020-06-08,NYC,New York (Central Park),77.6,56.0,66.5,0.0,9.0,57
2020-06-09,NYC,New York (Central Park),86.6,57.4,73.3,0.0,10.6,60
2020-06-10,NYC,New York (Central Park),81.2,65.9,73.0,0.0,15.5,78
2020-06-11,NYC,New York (Central Park),82.5,71.2,75.0,0.795,16.2,84
2020-06-12,NYC,New York (Central Park),82.2,65.9,74.0,0.0,12.9,59
2020-06-13,NYC,New York (Central Park),72.8,58.3,65.2,0.0,14.0,50
2020-06-14,NYC,New York (Central Park),71.9,53.3,62.1,0.0,11.9,60
2020-06-15,NYC,New York (Central Park),72.6,57.9,64.6,0.0,10.2,69
2020-06-16,NYC,New York (Central Park),76.0,57.2,65.9,0.0,12.2,68
2020-06-17,NYC,New York (Central Park),77.1,58.3,66.7,0.0,10.8,76
