date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range
2020-01-01,CHI,Chicago (Midway),41.6,20.6,31.4,1007.9,18.7,211,32.7,0.0,0.0,70,22.3,23,8.051805555555555,0,1,0,0,,21.0
2020-01-02,CHI,Chicago (Midway),49.7,36.7,42.2,1002.6,17.3,215,30.2,0.0,0.0,68,32.0,49,7.620113888888889,0,1,0,0,-5.2999999999999545,13.0
2020-01-03,CHI,Chicago (Midway),40.2,31.7,36.3,1010.1,6.5,348,11.2,0.0,0.0,84,31.7,80,1.187325,1,0,0,0,7.5,8.500000000000004
2020-01-04,CHI,Chicago (Midway),35.4,27.6,31.4,1016.6,11.8,311,22.4,0.071,0.0,72,23.3,92,2.7345055555555553,0,0,0,1,6.5,7.799999999999997
2020-01-05,CHI,Chicago (Midway),45.6,22.7,32.3,1016.5,20.6,232,38.0,0.024,0.0,72,24.1,46,5.002025000000001,0,0,0,1,-0.10000000000002274,22.900000000000002
2020-01-06,CHI,Chicago (Midway),40.1,25.4,32.3,1021.0,12.8,255,23.7,0.0,0.0,61,20.2,56,8.0,0,0,0,1,4.5,14.700000000000003
2020-01-07,CHI,Chicago (Midway),41.2,27.1,33.2,1017.0,14.1,259,28.0,0.004,0.0,65,22.7,62,7.326308333333333,0,0,0,1,-4.0,14.100000000000001
2020-01-08,CHI,Chicago (Midway),28.9,16.1,21.6,1028.5,14.6,329,25.5,0.0,0.0,53,6.9,15,8.073919444444444,1,0,0,0,11.5,12.799999999999997
2020-01-09,CHI,Chicago (Midway),49.8,22.2,38.9,1019.0,22.8,183,40.0,0.02,0.02,60,25.9,89,0.20768055555555556,0,1,0,0,-9.5,27.599999999999998
2020-01-10,CHI,Chicago (Midway),47.8,37.0,42.9,1017.6,17.5,344,32.7,0.445,0.445,96,41.8,97,0.0,1,0,0,0,-1.3999999999999773,10.799999999999997
2020-01-11,CHI,Chicago (Midway),36.9,30.7,33.5,1011.9,23.7,16,45.0,1.453,1.217,88,30.4,100,0.0,1,0,0,0,-5.7000000000000455,6.199999999999999
