date,city,city_name,actual_high_temp,actual_low_temp,actual_mean_temp,pressure_msl,wind_speed,wind_direction,wind_gusts,precipitation,rain,humidity,dewpoint,cloudcover,sunshine_hours,wind_from_north,wind_from_south,wind_from_east,wind_from_west,pressure_change_24h,temp_range,ecmwf_forecast,gfs_forecast,gdps_forecast,icon_forecast,nws_forecast,ensemble_mean,ensemble_spread,model_disagreement,nws_vs_ensemble,best_model
2020-01-01,CHI,Chicago (Midway),42,20.6,31.4,1007.9,18.7,211,32.7,0.0,0.0,70,22.3,23,8.051805555555555,0,1,0,0,,21.0,42.745071229516846,41.72347139765763,43.29537707620138,44.28454478461204,41.41461656319166,43.01211612199698,0.9261789338173931,0.6512714234981744,1.5974995588053247,42.745071229516846
2020-01-02,CHI,Chicago (Midway),48,36.7,42.2,1002.6,17.3,215,30.2,0.0,0.0,68,32.0,49,7.620113888888889,0,1,0,0,-5.2999999999999545,13.0,47.64879456457623,51.15842563101478,49.53486945830582,47.29578842109757,49.35640010896491,48.9094695187486,1.5525943372538857,1.4341363399160043,0.44693059021631143,47.64879456457623
2020-01-03,CHI,Chicago (Midway),41,31.7,36.3,1010.1,6.5,348,11.2,0.0,0.0,84,31.7,80,1.187325,1,0,0,0,7.5,8.500000000000004,40.30487346078131,40.06854049285948,41.48392454313207,38.1300796330133,36.68770541871742,39.99685453244654,1.2037691098137402,0.6190787722527066,3.30914911372912,40.30487346078131
2020-01-04,CHI,Chicago (Midway),33,27.6,31.4,1016.6,11.8,311,22.4,0.071,0.0,72,23.3,92,2.7345055555555557,0,0,0,1,6.5,7.799999999999997,32.15656870613854,30.974337759331153,33.628494665190544,31.637963886718182,29.46924074666177,32.09934125434461,0.9772521519918704,1.085704324464147,2.6301005076828368,32.15656870613854
2020-01-05,CHI,Chicago (Midway),42,22.7,32.3,1016.5,20.6,232,38.0,0.024,0.0,72,24.1,46,5.002025000000001,0,0,0,1,-0.1000000000000227,22.9,44.19847315338233,41.54844739902693,42.13505640937585,39.86287772067981,40.63904318868704,41.936213670616226,1.5497129609062763,1.136487536677801,1.2971704819291858,44.19847315338233
2020-01-06,CHI,Chicago (Midway),42,25.4,32.3,1021.0,12.8,255,23.7,0.0,0.0,61,20.2,56,8.0,0,0,0,1,4.5,14.700000000000005,42.1663838845648,39.6980128451554,42.75139603669135,41.09904196512179,41.27076562551681,41.42870868288333,1.1616426695231963,1.323221813969603,0.15794305736652348,42.1663838845648
2020-01-07,CHI,Chicago (Midway),40,27.1,33.2,1017.0,14.1,259,28.0,0.004,0.0,65,22.7,62,7.326308333333333,0,0,0,1,-4.0,14.1,39.097440081655904,43.70455636901787,39.973005550524135,38.41343360656615,42.05636228025797,40.297108901941016,2.043476151075539,1.9976821815558496,1.7592533783169557,39.097440081655904
2020-01-08,CHI,Chicago (Midway),29,16.1,21.6,1028.5,14.6,329,25.5,0.0,0.0,53,6.9,15,8.073919444444444,1,0,0,0,11.5,12.799999999999995,27.168734525043465,29.41772719000951,25.08065975224045,27.007720926652354,29.492153089672808,27.168710598486445,1.5365504905847038,1.7710065632491512,2.3234424911863627,27.168734525043465
2020-01-09,CHI,Chicago (Midway),50,22.2,38.9,1019.0,22.8,183,40.0,0.02,0.02,60,25.9,89,0.2076805555555555,0,1,0,0,-9.5,27.6,51.10769986999311,50.34273656237994,49.76870343522352,49.548344456616064,46.303695024081435,50.19187108105316,0.6030547522703851,0.5484923118465682,3.888176056971723,51.10769986999311
2020-01-10,CHI,Chicago (Midway),50,37.0,42.9,1017.6,17.5,344,32.7,0.445,0.445,96,41.8,97,0.0,1,0,0,0,-1.3999999999999773,10.799999999999995,48.920233687407936,49.07872245808043,52.11424445243783,50.515427434352695,45.592399611593166,50.157157008069724,1.2895298894422598,1.469739857396678,4.564757396476558,48.920233687407936
2020-01-11,CHI,Chicago (Midway),37,30.7,33.5,1011.9,23.7,16,45.0,1.453,1.217,88,30.4,100,0.0,1,0,0,0,-5.7000000000000455,6.199999999999999,37.486125954092195,36.22983543916737,35.646155999388085,37.9175144332613,39.57749880623988,36.81990795647724,0.91848593221119,0.7677121118785339,2.757590849762643,37.486125954092195
2020-01-12,CHI,Chicago (Midway),31,23.8,28.3,1024.6,11.3,360,22.4,0.016,0.0,83,23.8,98,0.4386833333333333,1,0,0,0,12.699999999999932,7.899999999999999,32.3969201786743,29.321564953554724,30.381575248297573,31.496895147105345,33.4388628178059,30.899238881907987,1.157289175161251,1.275541138934386,2.539623935897911,32.3969201786743
2020-01-13,CHI,Chicago (Midway),33,29.0,31.5,1026.1,9.8,208,17.2,0.0,0.0,84,27.0,93,3.868013888888889,0,1,0,0,1.5,4.5,32.281238643232065,32.62868204667237,30.787330051987944,31.205690063878993,35.031314555985496,31.725735201442838,0.7541465787194319,0.7988225338942784,3.305579354542658,32.281238643232065
2020-01-14,CHI,Chicago (Midway),39,28.1,35.0,1020.5,15.9,227,30.4,0.0,0.0,87,31.3,57,3.9399888888888888,0,0,0,1,-5.599999999999909,15.799999999999995,41.034360042856235,38.85597975683933,41.00706579578405,39.54245403757145,37.38720061348719,40.10996490826277,0.9425820541993706,1.0205258335982814,2.7227642947755797,41.034360042856235
2020-01-15,CHI,Chicago (Midway),36,25.1,31.5,1020.4,12.2,355,20.8,0.031,0.031,94,30.0,67,0.0,1,0,0,0,-0.1000000000000227,11.6,36.54209340826262,39.07607313293194,35.928347921780095,38.34696548372101,29.450637239775638,37.473369986673916,1.2831792269586244,1.3624288267703615,8.022732746898278,36.54209340826262
2020-01-16,CHI,Chicago (Midway),29,15.3,21.9,1037.2,14.8,304,26.8,0.0,0.0,56,7.9,45,8.260863888888888,0,0,0,1,16.800000000000068,15.5,30.232853756562836,29.17409413647634,28.401985299068265,29.137641164803252,24.03107771349777,29.236643589227675,0.652457483847642,0.750496376375729,5.205565875729906,30.232853756562836
2020-01-17,CHI,Chicago (Midway),29,15.3,24.3,1038.4,17.4,115,31.3,0.244,0.0,62,12.5,99,1.8020194444444448,0,0,1,0,1.2000000000000457,13.7,28.670492168243733,29.714225143023494,31.955788089483033,28.22259467258953,26.97876599276703,29.64077501833495,1.441992089319752,1.3706102556361348,2.6620090255679187,28.670492168243733
2020-01-18,CHI,Chicago (Midway),35,9.2,27.3,1012.4,23.7,236,42.1,0.378,0.323,83,22.7,99,0.0,0,0,0,1,-26.000000000000117,26.7,34.247364434623194,36.830804235404145,35.65750221931937,34.20535969434944,36.28316858278339,35.23525764592404,1.0909493785867488,1.0561611512683067,1.0479109368593527,34.247364434623194
2020-01-19,CHI,Chicago (Midway),19,2.2,10.8,1027.2,19.5,278,35.3,0.0,0.0,60,-0.5,61,8.0,0,0,0,1,14.800000000000068,17.400000000000002,19.14561632402206,20.937289981065778,17.595893812245293,18.508506780103346,18.019729617169606,19.04682672435912,1.2225593429153199,1.3653108198770592,1.0270971071895154,19.14561632402206
2020-01-20,CHI,Chicago (Midway),31,18.9,23.1,1036.3,9.7,321,17.4,0.0,0.0,70,14.5,72,4.600227777777778,1,0,0,0,9.099999999999907,11.5,28.80472757780182,31.59224055412915,31.52211054435978,31.00767018496369,30.41353216656213,30.73168721531361,1.1351939407193217,1.2978322524032504,0.3181550487514784,28.80472757780182
2020-01-21,CHI,Chicago (Midway),29,14.6,22.7,1035.9,11.6,231,21.3,0.0,0.0,69,13.5,16,8.555430555555555,0,0,0,1,-0.3999999999998636,17.6,26.87694388692438,28.15870935446928,28.314570966946462,27.79658409616757,28.596785720834976,27.78670207612692,0.5578513686852244,0.6441175856461306,0.8100836447080546,26.87694388692438
2020-01-22,CHI,Chicago (Midway),34,22.3,28.5,1024.7,14.5,195,27.1,0.0,0.0,59,15.4,100,4.191083333333333,0,1,0,0,-11.200000000000044,14.2,34.60607628522181,37.77237180242106,34.34915562566368,34.38632558608415,33.81388521058458,35.27848232484768,1.4431914606882557,1.556700375093897,1.4645971142630998,34.60607628522181
2020-01-23,CHI,Chicago (Midway),34,29.5,31.8,1019.3,10.8,166,20.6,0.232,0.004,83,27.1,100,0.0,0,1,0,0,-5.400000000000091,4.0,31.12184317705144,33.94697224910156,34.12046041988205,37.69486316872793,33.519097588047195,34.221034753690745,2.332257368885054,1.3744961819657016,0.7019371656435496,31.12184317705144
2020-01-24,CHI,Chicago (Midway),37,32.9,35.5,1012.0,8.7,94,15.0,0.402,0.28,97,34.6,100,0.0,0,0,1,0,-7.299999999999954,6.399999999999999,37.452321013500416,36.93057646058951,34.662643924760935,38.71423422177253,38.87983258171693,36.93994390515585,1.4660166590560657,1.210969933795038,1.9398886765610825,37.452321013500416
2020-01-25,CHI,Chicago (Midway),34,31.9,33.1,1011.0,12.1,254,21.5,0.303,0.039,96,32.1,100,0.0,0,0,0,1,-1.0,2.6000000000000014,35.18654792056457,32.18122509041052,36.8055886218722,31.89722340581158,35.467142734500676,34.01764625966472,2.0620129423619704,1.915956279281055,1.4494964748359536,35.18654792056457
