city,city_name,date,nws_settlement_temp,source,note
NYC,New York (Central Park),2020-01-01,40,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-02,47,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-03,49,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-04,49,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-05,41,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-06,45,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-07,42,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-08,41,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-09,33,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-10,52,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-11,64,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-12,65,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-13,48,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-14,44,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-15,48,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-16,47,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-17,32,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-18,36,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-19,44,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-20,30,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-21,34,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-22,37,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-23,44,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-24,49,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-25,50,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-26,46,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-27,45,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-28,42,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-29,40,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-30,34,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-01-31,43,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-01,41,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-02,43,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-03,54,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-04,55,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-05,46,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-06,43,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-07,56,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-08,40,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-09,43,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-10,47,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-11,46,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-12,45,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-13,43,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-14,36,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-15,29,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-16,45,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-17,49,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-18,48,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-19,46,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-20,37,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-21,35,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-22,48,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-23,53,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-24,55,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-25,50,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-26,49,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-27,48,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-28,41,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-02-29,36,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-03-01,44,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-03-02,56,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-03-03,56,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-03-04,55,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
NYC,New York (Central Park),2020-03-05,51,open_meteo_proxy,Proxy for NWS CLI - may differ by 1-2F
