city,city_name,date,nws_settlement_temp,station_id,kalshi_station,source,note
CHI,Chicago (O'Hare International),2020-01-01,42,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-02,48,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-03,41,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-04,33,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-05,42,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-06,42,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-07,40,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-08,29,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-09,50,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-10,50,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-11,37,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-12,31,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-13,33,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-14,39,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-15,36,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-16,29,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
CHI,Chicago (O'Hare International),2020-01-17,29,GHCND:USW00094846,O'Hare International Airport,NOAA_CDO_GHCND,Official NOAA station data - exact Kalshi settlement
